,,,Totals,,,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Kevin Durant,29,4,4,165,40,76,9,22,26,27,2,41,43,30,3,9,9,12,115,0.526,0.409,0.963,41.3,28.8,10.8,7.5,0.8,2.3
2,Stephen Curry,29,4,4,162,37,92,22,53,14,14,3,21,24,27,6,3,11,11,110,0.402,0.415,1,40.6,27.5,6,6.8,1.5,0.8
3,Klay Thompson,27,4,4,148,24,50,12,28,4,5,0,15,15,4,2,1,5,12,64,0.48,0.429,0.8,37,16,3.8,1,0.5,0.3
4,Draymond Green,27,4,4,165,15,29,3,14,4,5,4,20,24,34,8,6,5,18,37,0.517,0.214,0.8,41.4,9.3,6,8.5,2,1.5
5,JaVale McGee,30,4,3,55,16,20,0,0,0,1,4,5,9,0,0,5,1,6,32,0.8,,0,13.8,8,2.3,0,0,1.3
6,Shaun Livingston,32,4,0,65,13,15,0,0,4,4,1,10,11,6,1,0,1,7,30,0.867,,1,16.2,7.5,2.8,1.5,0.3,0
7,Jordan Bell,23,4,0,54,10,14,0,1,3,6,4,9,13,4,1,2,0,4,23,0.714,0,0.5,13.5,5.8,3.3,1,0.3,0.5
8,Andre Iguodala,34,2,0,45,7,12,3,6,2,2,1,3,4,1,3,2,1,6,19,0.583,0.5,1,22.3,9.5,2,0.5,1.5,1
9,Kevon Looney,21,4,1,39,5,7,0,0,0,4,4,2,6,1,1,0,0,4,10,0.714,,0,9.7,2.5,1.5,0.3,0.3,0
10,Zaza Pachulia,33,2,0,6,1,3,0,0,6,6,1,2,3,0,0,1,1,0,8,0.333,,1,3.1,4,1.5,0,0,0.5
11,David West,37,4,0,28,3,5,1,1,0,0,2,3,5,4,0,3,3,4,7,0.6,1,,7,1.8,1.3,1,0,0.8
12,Nick Young,32,4,0,38,2,13,1,10,0,0,0,2,2,0,0,0,0,3,5,0.154,0.1,,9.5,1.3,0.5,0,0,0
13,Quinn Cook,24,2,0,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0.333,0,,1.8,1,0,0,0,0
14,Patrick McCaw,22,4,0,11,0,0,0,0,2,2,1,0,1,0,1,0,0,0,2,,,1,2.7,0.5,0.3,0,0.3,0
,Team Totals,28.5,4,,985,174,339,51,136,65,76,27,133,160,111,26,32,37,87,464,0.513,0.375,0.855,246.3,116,40,27.8,6.5,8
